"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","id","speed_lim","ticket_amount"
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",70,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",70,0
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"car_type_2",70,0
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",70,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",70,0
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"car_type_14",70,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",70,0
30.4,4,75.7,64,4.93,1.615,18.52,1,1,4,2,"car_type_19",70,1067
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,0
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"car_type_8",70,0
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"car_type_6",70,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",70,0
21,6,160,138,3.9,2.875,17.02,0,1,4,4,"car_type_2",70,1114
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"car_type_11",70,0
13.3,8,350,292,3.73,3.84,15.41,0,0,3,4,"car_type_24",70,987
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,952
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",70,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",70,0
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"car_type_8",70,0
15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,"car_type_23",70,0
32.4,4,78.7,77,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",70,0
18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,"car_type_5",70,0
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",70,0
10.4,8,460,215,3,5.424,17.82,0,0,3,4,"car_type_16",70,0
14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,"car_type_17",70,0
21.4,4,121,132,4.11,2.78,18.6,1,1,4,2,"car_type_32",70,1024
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",70,0
21.5,4,120.1,114,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,952
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",70,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",70,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",70,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,0
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"car_type_11",70,0
24.4,4,146.7,69,3.69,3.19,20,1,0,4,2,"car_type_8",70,0
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",70,0
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",70,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",70,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",70,0
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"car_type_21",70,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",70,0
16.4,8,275.8,211,3.07,4.07,17.4,0,0,3,3,"car_type_12",70,0
14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,"car_type_17",70,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",70,0
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,"car_type_32",70,0
13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,"car_type_24",70,922
