"mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","speed_lim","ticket_amount"
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",65,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
19.7,6,145,218,3.62,15.5,0,1,5,6,2387,"car_type_30",65,0
17.3,8,275.8,216,3.07,17.6,0,0,3,3,3394,"car_type_13",65,1004
30.4,4,75.7,63,4.93,18.52,1,1,4,2,1511,"car_type_19",65,1007
15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",65,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",65,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,0
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",65,950
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",65,0
15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",65,1026
18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",65,0
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",65,925
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",65,0
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",65,924
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,1002
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",65,1117
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",65,0
22.8,4,140.8,120,3.92,22.9,1,0,4,2,2911,"car_type_9",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",65,1129
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,932
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",65,1040
18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",65,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",65,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",65,0
21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",65,948
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",65,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",65,0
33.9,4,71.1,74,4.22,19.9,1,1,4,1,1803,"car_type_20",65,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",65,1055
15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",65,960
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",65,0
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
19.7,6,145,206,3.62,15.5,0,1,5,6,2330,"car_type_30",65,951
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",65,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
22.8,4,140.8,116,3.92,22.9,1,0,4,2,2747,"car_type_9",65,0
27.3,4,79,73,4.08,18.9,1,1,4,1,1711,"car_type_26",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",65,0
15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",65,0
15.2,8,304,178,3.15,17.3,0,0,3,2,2847,"car_type_23",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",65,0
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",65,0
15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",65,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",65,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",65,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",65,987
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
16.4,8,275.8,237,3.07,17.4,0,0,3,3,3681,"car_type_12",65,0
18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",65,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",65,1008
21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",65,1199
26,4,120.3,108,4.43,16.7,0,1,5,2,1823,"car_type_27",65,0
21,6,160,143,3.9,17.02,0,1,4,4,2350,"car_type_2",65,1205
22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
21,6,160,136,3.9,16.46,0,1,4,4,2262,"car_type_1",65,0
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",65,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",65,0
21,6,160,128,3.9,17.02,0,1,4,4,2535,"car_type_2",65,926
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",65,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
19.7,6,145,215,3.62,15.5,0,1,5,6,2267,"car_type_30",65,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",65,0
19.2,6,167.6,153,3.92,18.3,1,0,4,4,3210,"car_type_10",65,0
18.1,6,225,134,2.76,20.22,1,0,3,1,2945,"car_type_6",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",65,0
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",65,0
15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,0
18.7,8,360,192,3.15,17.02,0,0,3,2,3033,"car_type_5",65,0
19.2,8,400,217,3.08,17.05,0,0,3,2,3494,"car_type_25",65,1074
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
15,8,301,387,3.54,14.6,0,1,5,8,3072,"car_type_31",65,912
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,0
33.9,4,71.1,77,4.22,19.9,1,1,4,1,1638,"car_type_20",65,0
21.4,4,121,134,4.11,18.6,1,1,4,2,2375,"car_type_32",65,0
15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",65,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",65,0
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",65,0
27.3,4,79,82,4.08,18.9,1,1,4,1,1602,"car_type_26",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",65,1037
24.4,4,146.7,72,3.69,20,1,0,4,2,3001,"car_type_8",65,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",65,900
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",65,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",65,0
10.4,8,472,245,2.93,17.98,0,0,3,4,4454,"car_type_15",65,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",65,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",65,0
15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",65,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,0
15,8,301,399,3.54,14.6,0,1,5,8,3176,"car_type_31",65,0
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
19.2,6,167.6,157,3.92,18.3,1,0,4,4,2813,"car_type_10",65,1153
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",65,0
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",65,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",65,946
10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,0
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,0
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",65,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",65,0
22.8,4,140.8,106,3.92,22.9,1,0,4,2,2699,"car_type_9",65,828
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,0
10.4,8,460,288,3,17.82,0,0,3,4,5046,"car_type_16",65,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",65,0
15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",65,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",65,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,1092
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,1150
18.1,6,225,124,2.76,20.22,1,0,3,1,3418,"car_type_6",65,954
17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",65,1002
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,0
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",65,0
10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",65,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",65,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",65,0
18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",65,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",65,0
22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",65,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",65,0
22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",65,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",65,0
21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",65,0
32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",65,0
18.7,8,360,197,3.15,17.02,0,0,3,2,3078,"car_type_5",65,846
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",65,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",65,0
15.8,8,351,332,4.22,14.5,0,1,5,4,2652,"car_type_29",65,1112
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",65,0
13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",65,0
13.3,8,350,295,3.73,15.41,0,0,3,4,3501,"car_type_24",65,1004
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",65,0
21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",65,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",65,0
15.5,8,318,164,2.76,16.87,0,0,3,2,3232,"car_type_22",65,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",65,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",65,0
22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",65,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",65,0
15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",65,0
17.8,6,167.6,135,3.92,18.9,1,0,4,4,2960,"car_type_11",65,788
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",65,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",65,962
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",65,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",65,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",65,851
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",65,0
15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",65,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",65,0
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",65,0
33.9,4,71.1,75,4.22,19.9,1,1,4,1,1655,"car_type_20",65,907
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",65,0
