"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"09",359,"Connecticut",18.7,8,360,206,3.15,17.02,0,0,3,2,2840,"car_type_5",TRUE,65,953
"09",359,"Connecticut",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,850
"09",359,"Connecticut",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,65,0
"09",359,"Connecticut",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"09",359,"Connecticut",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"09",359,"Connecticut",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,65,0
"09",359,"Connecticut",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,0
"09",359,"Connecticut",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,65,0
"09",359,"Connecticut",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,65,0
"09",359,"Connecticut",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"09",359,"Connecticut",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,65,0
"09",359,"Connecticut",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,65,0
"09",359,"Connecticut",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,65,0
"09",359,"Connecticut",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,65,0
"09",359,"Connecticut",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,65,0
"09",359,"Connecticut",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,65,0
"09",359,"Connecticut",21,6,160,121,3.9,16.46,0,1,4,4,2300,"car_type_1",TRUE,65,803
"09",359,"Connecticut",21.4,6,258,131,3.08,19.44,1,0,3,1,2953,"car_type_4",TRUE,65,0
"09",359,"Connecticut",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,65,0
"09",359,"Connecticut",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,65,925
"09",359,"Connecticut",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,65,0
"09",359,"Connecticut",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"09",359,"Connecticut",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,65,0
"09",359,"Connecticut",21,6,160,131,3.9,17.02,0,1,4,4,2796,"car_type_2",TRUE,65,0
"09",359,"Connecticut",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,1032
"09",359,"Connecticut",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,65,0
"09",359,"Connecticut",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"09",359,"Connecticut",15.2,8,275.8,205,3.07,18,0,0,3,3,3567,"car_type_14",TRUE,65,0
"09",359,"Connecticut",33.9,4,71.1,75,4.22,19.9,1,1,4,1,1550,"car_type_20",TRUE,65,903
"09",359,"Connecticut",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,65,0
"09",359,"Connecticut",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"09",359,"Connecticut",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"09",359,"Connecticut",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,65,0
"09",359,"Connecticut",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,65,0
"09",359,"Connecticut",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,65,0
"09",359,"Connecticut",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"09",359,"Connecticut",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,65,0
"09",359,"Connecticut",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,65,0
"09",359,"Connecticut",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,65,0
"09",359,"Connecticut",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"09",359,"Connecticut",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,65,0
"09",359,"Connecticut",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,65,840
