"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"23",133,"Maine",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,1125
"23",133,"Maine",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,70,1016
"23",133,"Maine",16.4,8,275.8,214,3.07,17.4,0,0,3,3,3762,"car_type_12",TRUE,70,0
"23",133,"Maine",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"23",133,"Maine",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"23",133,"Maine",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"23",133,"Maine",24.4,4,146.7,75,3.69,20,1,0,4,2,2926,"car_type_8",TRUE,70,0
"23",133,"Maine",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"23",133,"Maine",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,952
"23",133,"Maine",33.9,4,71.1,79,4.22,19.9,1,1,4,1,1704,"car_type_20",TRUE,70,0
"23",133,"Maine",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"23",133,"Maine",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"23",133,"Maine",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"23",133,"Maine",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,70,0
"23",133,"Maine",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1022
"23",133,"Maine",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,0
"23",133,"Maine",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"23",133,"Maine",26,4,120.3,112,4.43,16.7,0,1,5,2,2065,"car_type_27",TRUE,70,1060
"23",133,"Maine",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"23",133,"Maine",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1002
"23",133,"Maine",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"23",133,"Maine",22.8,4,140.8,116,3.92,22.9,1,0,4,2,2597,"car_type_9",TRUE,70,0
"23",133,"Maine",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"23",133,"Maine",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"23",133,"Maine",32.4,4,78.7,75,4.08,19.47,1,1,4,1,1941,"car_type_18",TRUE,70,870
"23",133,"Maine",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"23",133,"Maine",14.7,8,440,285,3.23,17.42,0,0,3,4,4818,"car_type_17",TRUE,70,1075
"23",133,"Maine",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,0
"23",133,"Maine",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"23",133,"Maine",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"23",133,"Maine",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"23",133,"Maine",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
