"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"33",133,"New Hampshire",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,65,0
"33",133,"New Hampshire",17.3,8,275.8,219,3.07,17.6,0,0,3,3,3276,"car_type_13",TRUE,65,1030
"33",133,"New Hampshire",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,65,0
"33",133,"New Hampshire",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,881
"33",133,"New Hampshire",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,65,0
"33",133,"New Hampshire",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"33",133,"New Hampshire",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,65,1022
"33",133,"New Hampshire",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,65,0
"33",133,"New Hampshire",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,65,0
"33",133,"New Hampshire",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,65,0
"33",133,"New Hampshire",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,65,0
"33",133,"New Hampshire",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,65,0
"33",133,"New Hampshire",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,65,0
"33",133,"New Hampshire",30.4,4,75.7,65,4.93,18.52,1,1,4,2,1404,"car_type_19",TRUE,65,0
"33",133,"New Hampshire",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"33",133,"New Hampshire",17.8,6,167.6,146,3.92,18.9,1,0,4,4,3144,"car_type_11",TRUE,65,0
"33",133,"New Hampshire",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,65,0
"33",133,"New Hampshire",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"33",133,"New Hampshire",21.4,4,121,127,4.11,18.6,1,1,4,2,2263,"car_type_32",TRUE,65,0
"33",133,"New Hampshire",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,65,0
"33",133,"New Hampshire",18.1,6,225,124,2.76,20.22,1,0,3,1,2997,"car_type_6",TRUE,65,961
"33",133,"New Hampshire",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,65,0
"33",133,"New Hampshire",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,65,0
"33",133,"New Hampshire",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,65,0
"33",133,"New Hampshire",15,8,301,392,3.54,14.6,0,1,5,8,3271,"car_type_31",TRUE,65,938
"33",133,"New Hampshire",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,65,0
"33",133,"New Hampshire",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,65,0
"33",133,"New Hampshire",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,65,0
"33",133,"New Hampshire",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,0
"33",133,"New Hampshire",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"33",133,"New Hampshire",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,65,0
"33",133,"New Hampshire",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,65,0
