"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"39",1159,"Ohio",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"39",1159,"Ohio",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,1027
"39",1159,"Ohio",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"39",1159,"Ohio",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"39",1159,"Ohio",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"39",1159,"Ohio",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"39",1159,"Ohio",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,70,987
"39",1159,"Ohio",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"39",1159,"Ohio",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"39",1159,"Ohio",30.4,4,95.1,125,3.77,16.9,1,1,5,2,1340,"car_type_28",TRUE,70,808
"39",1159,"Ohio",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"39",1159,"Ohio",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"39",1159,"Ohio",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,0
"39",1159,"Ohio",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"39",1159,"Ohio",18.1,6,225,124,2.76,20.22,1,0,3,1,3332,"car_type_6",TRUE,70,952
"39",1159,"Ohio",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
