"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"45",483,"South Carolina",21.4,4,121,132,4.11,18.6,1,1,4,2,2538,"car_type_32",TRUE,70,0
"45",483,"South Carolina",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,70,0
"45",483,"South Carolina",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"45",483,"South Carolina",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"45",483,"South Carolina",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"45",483,"South Carolina",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"45",483,"South Carolina",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,70,0
"45",483,"South Carolina",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"45",483,"South Carolina",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"45",483,"South Carolina",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"45",483,"South Carolina",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"45",483,"South Carolina",22.8,4,140.8,116,3.92,22.9,1,0,4,2,3085,"car_type_9",TRUE,70,0
"45",483,"South Carolina",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,70,0
"45",483,"South Carolina",21.4,6,258,135,3.08,19.44,1,0,3,1,3215,"car_type_4",TRUE,70,0
"45",483,"South Carolina",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,0
"45",483,"South Carolina",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"45",483,"South Carolina",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,70,921
"45",483,"South Carolina",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,70,0
"45",483,"South Carolina",22.8,4,140.8,111,3.92,22.9,1,0,4,2,2624,"car_type_9",TRUE,70,943
