"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","id","speed_lim","ticket_amount"
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",75,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",75,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",75,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",75,0
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,"car_type_32",75,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",75,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",75,859
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",75,0
14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,"car_type_7",75,1010
14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,"car_type_17",75,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",75,0
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,"car_type_13",75,0
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,"car_type_13",75,984
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",75,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",75,0
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,"car_type_29",75,960
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",75,0
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"car_type_8",75,0
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"car_type_20",75,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",75,0
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"car_type_25",75,0
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"car_type_30",75,1235
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"car_type_6",75,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",75,0
15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,"car_type_22",75,0
19.7,6,145,233,3.62,2.77,15.5,0,1,5,6,"car_type_30",75,0
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"car_type_6",75,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",75,0
15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,"car_type_23",75,0
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"car_type_26",75,0
14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,"car_type_7",75,1038
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"car_type_12",75,0
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"car_type_14",75,0
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,"car_type_32",75,0
18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,"car_type_5",75,0
15,8,301,335,3.54,3.57,14.6,0,1,5,8,"car_type_31",75,1179
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",75,0
15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,"car_type_22",75,0
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"car_type_27",75,0
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"car_type_25",75,0
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"car_type_18",75,0
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"car_type_4",75,0
32.4,4,78.7,78,4.08,2.2,19.47,1,1,4,1,"car_type_18",75,962
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"car_type_8",75,0
30.4,4,95.1,131,3.77,1.513,16.9,1,1,5,2,"car_type_28",75,0
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"car_type_19",75,0
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"car_type_10",75,0
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"car_type_30",75,0
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"car_type_9",75,0
15,8,301,335,3.54,3.57,14.6,0,1,5,8,"car_type_31",75,953
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"car_type_2",75,0
17.3,8,275.8,219,3.07,3.73,17.6,0,0,3,3,"car_type_13",75,1033
