"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"51",831,"Virginia",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,65,936
"51",831,"Virginia",30.4,4,75.7,62,4.93,18.52,1,1,4,2,1434,"car_type_19",TRUE,65,0
"51",831,"Virginia",22.8,4,108,116,3.85,18.61,1,1,4,1,2043,"car_type_3",TRUE,65,0
"51",831,"Virginia",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,65,0
"51",831,"Virginia",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,65,0
"51",831,"Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,1121
"51",831,"Virginia",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,65,0
"51",831,"Virginia",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,65,854
"51",831,"Virginia",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,65,0
"51",831,"Virginia",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,65,0
"51",831,"Virginia",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,1039
"51",831,"Virginia",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,65,0
"51",831,"Virginia",13.3,8,350,295,3.73,15.41,0,0,3,4,3649,"car_type_24",TRUE,65,0
"51",831,"Virginia",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,65,0
"51",831,"Virginia",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,65,0
"51",831,"Virginia",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,0
"51",831,"Virginia",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,65,0
"51",831,"Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,0
"51",831,"Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"51",831,"Virginia",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,0
"51",831,"Virginia",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,65,0
"51",831,"Virginia",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,65,0
"51",831,"Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,980
"51",831,"Virginia",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,65,0
"51",831,"Virginia",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"51",831,"Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"51",831,"Virginia",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,65,0
"51",831,"Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,65,0
"51",831,"Virginia",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,65,0
"51",831,"Virginia",32.4,4,78.7,75,4.08,19.47,1,1,4,1,1908,"car_type_18",TRUE,65,865
"51",831,"Virginia",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,65,0
"51",831,"Virginia",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,65,0
"51",831,"Virginia",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"51",831,"Virginia",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,65,0
"51",831,"Virginia",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,0
"51",831,"Virginia",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,65,0
"51",831,"Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,937
"51",831,"Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,0
"51",831,"Virginia",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,65,0
"51",831,"Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"51",831,"Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"51",831,"Virginia",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,65,0
"51",831,"Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,65,0
"51",831,"Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"51",831,"Virginia",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,65,0
"51",831,"Virginia",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,65,0
"51",831,"Virginia",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,65,0
"51",831,"Virginia",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,0
"51",831,"Virginia",19.2,6,167.6,144,3.92,18.3,1,0,4,4,2914,"car_type_10",TRUE,65,0
