"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"53",707,"Washington",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1083
"53",707,"Washington",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"53",707,"Washington",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,955
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"53",707,"Washington",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,70,1044
"53",707,"Washington",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"53",707,"Washington",15.2,8,275.8,216,3.07,18,0,0,3,3,3574,"car_type_14",TRUE,70,1000
"53",707,"Washington",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,70,0
"53",707,"Washington",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,1006
"53",707,"Washington",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,917
"53",707,"Washington",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"53",707,"Washington",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,0
"53",707,"Washington",22.8,4,108,120,3.85,18.61,1,1,4,1,2244,"car_type_3",TRUE,70,1180
"53",707,"Washington",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"53",707,"Washington",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"53",707,"Washington",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"53",707,"Washington",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"53",707,"Washington",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,1046
"53",707,"Washington",21,6,160,123,3.9,16.46,0,1,4,4,2373,"car_type_1",TRUE,70,837
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"53",707,"Washington",30.4,4,95.1,130,3.77,16.9,1,1,5,2,1270,"car_type_28",TRUE,70,898
"53",707,"Washington",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"53",707,"Washington",10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",FALSE,70,0
"53",707,"Washington",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"53",707,"Washington",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1261
"53",707,"Washington",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"53",707,"Washington",19.7,6,145,218,3.62,15.5,0,1,5,6,2491,"car_type_30",TRUE,70,0
"53",707,"Washington",19.7,6,145,200,3.62,15.5,0,1,5,6,2529,"car_type_30",TRUE,70,880
"53",707,"Washington",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,70,0
"53",707,"Washington",30.4,4,95.1,133,3.77,16.9,1,1,5,2,1417,"car_type_28",TRUE,70,955
"53",707,"Washington",15.5,8,318,178,2.76,16.87,0,0,3,2,3047,"car_type_22",TRUE,70,972
"53",707,"Washington",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"53",707,"Washington",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"53",707,"Washington",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,70,0
"53",707,"Washington",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,70,0
"53",707,"Washington",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,890
"53",707,"Washington",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,0
"53",707,"Washington",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"53",707,"Washington",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,70,0
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"53",707,"Washington",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"53",707,"Washington",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"53",707,"Washington",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"53",707,"Washington",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,70,954
"53",707,"Washington",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"53",707,"Washington",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"53",707,"Washington",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,70,918
"53",707,"Washington",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"53",707,"Washington",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,70,0
"53",707,"Washington",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,0
"53",707,"Washington",22.8,4,140.8,106,3.92,22.9,1,0,4,2,2902,"car_type_9",TRUE,70,830
"53",707,"Washington",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"53",707,"Washington",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"53",707,"Washington",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,70,0
"53",707,"Washington",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"53",707,"Washington",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"53",707,"Washington",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"53",707,"Washington",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1000
"53",707,"Washington",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,70,0
"53",707,"Washington",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"53",707,"Washington",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"53",707,"Washington",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"53",707,"Washington",15.2,8,275.8,218,3.07,18,0,0,3,3,3807,"car_type_14",TRUE,70,1019
"53",707,"Washington",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"53",707,"Washington",21.4,4,121,133,4.11,18.6,1,1,4,2,2533,"car_type_32",TRUE,70,1032
"53",707,"Washington",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,70,0
"53",707,"Washington",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"53",707,"Washington",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"53",707,"Washington",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"53",707,"Washington",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,1063
"53",707,"Washington",26,4,120.3,106,4.43,16.7,0,1,5,2,2007,"car_type_27",TRUE,70,929
"53",707,"Washington",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"53",707,"Washington",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"53",707,"Washington",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"53",707,"Washington",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"53",707,"Washington",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,70,1127
"53",707,"Washington",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,1216
"53",707,"Washington",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"53",707,"Washington",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"53",707,"Washington",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"53",707,"Washington",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"53",707,"Washington",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"53",707,"Washington",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"53",707,"Washington",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"53",707,"Washington",10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",FALSE,70,0
"53",707,"Washington",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"53",707,"Washington",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"53",707,"Washington",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,930
"53",707,"Washington",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"53",707,"Washington",15.8,8,351,329,4.22,14.5,0,1,5,4,3077,"car_type_29",TRUE,70,1093
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"53",707,"Washington",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"53",707,"Washington",14.3,8,360,299,3.21,15.84,0,0,3,4,3305,"car_type_7",TRUE,70,1038
"53",707,"Washington",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,896
"53",707,"Washington",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"53",707,"Washington",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,0
"53",707,"Washington",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"53",707,"Washington",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,70,0
"53",707,"Washington",33.9,4,71.1,83,4.22,19.9,1,1,4,1,1713,"car_type_20",TRUE,70,0
"53",707,"Washington",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"53",707,"Washington",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"53",707,"Washington",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"53",707,"Washington",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"53",707,"Washington",21,6,160,135,3.9,17.02,0,1,4,4,2570,"car_type_2",TRUE,70,1064
"53",707,"Washington",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"53",707,"Washington",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"53",707,"Washington",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"53",707,"Washington",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,70,0
"53",707,"Washington",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"53",707,"Washington",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"53",707,"Washington",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
