"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"54",185,"West Virginia",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"54",185,"West Virginia",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"54",185,"West Virginia",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"54",185,"West Virginia",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"54",185,"West Virginia",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,70,0
"54",185,"West Virginia",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,70,1036
"54",185,"West Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"54",185,"West Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",14.7,8,440,273,3.23,17.42,0,0,3,4,4726,"car_type_17",TRUE,70,972
"54",185,"West Virginia",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"54",185,"West Virginia",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,70,0
"54",185,"West Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"54",185,"West Virginia",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,1227
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"54",185,"West Virginia",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"54",185,"West Virginia",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",22.8,4,108,105,3.85,18.61,1,1,4,1,2075,"car_type_3",TRUE,70,851
"54",185,"West Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"54",185,"West Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"54",185,"West Virginia",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,70,0
"54",185,"West Virginia",30.4,4,75.7,66,4.93,18.52,1,1,4,2,1368,"car_type_19",TRUE,70,0
"54",185,"West Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"54",185,"West Virginia",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"54",185,"West Virginia",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"54",185,"West Virginia",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,0
"54",185,"West Virginia",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,0
"54",185,"West Virginia",15.2,8,304,178,3.15,17.3,0,0,3,2,2841,"car_type_23",TRUE,70,968
"54",185,"West Virginia",21.4,6,258,128,3.08,19.44,1,0,3,1,2829,"car_type_4",TRUE,70,924
"54",185,"West Virginia",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,70,943
"54",185,"West Virginia",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"54",185,"West Virginia",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"54",185,"West Virginia",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"54",185,"West Virginia",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"54",185,"West Virginia",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"54",185,"West Virginia",21.4,4,121,127,4.11,18.6,1,1,4,2,2538,"car_type_32",TRUE,70,926
"54",185,"West Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"54",185,"West Virginia",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"54",185,"West Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"54",185,"West Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,70,0
"54",185,"West Virginia",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"54",185,"West Virginia",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"54",185,"West Virginia",27.3,4,79,79,4.08,18.9,1,1,4,1,1671,"car_type_26",TRUE,70,0
"54",185,"West Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"54",185,"West Virginia",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,70,0
"54",185,"West Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"54",185,"West Virginia",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"54",185,"West Virginia",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,70,0
"54",185,"West Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"54",185,"West Virginia",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"54",185,"West Virginia",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"54",185,"West Virginia",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,70,0
"54",185,"West Virginia",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,70,0
"54",185,"West Virginia",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,70,0
"54",185,"West Virginia",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,70,0
"54",185,"West Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"54",185,"West Virginia",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"54",185,"West Virginia",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,70,0
"54",185,"West Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,0
"54",185,"West Virginia",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"54",185,"West Virginia",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,70,0
"54",185,"West Virginia",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,70,0
"54",185,"West Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"54",185,"West Virginia",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,70,0
"54",185,"West Virginia",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,70,0
"54",185,"West Virginia",24.4,4,146.7,78,3.69,20,1,0,4,2,2975,"car_type_8",TRUE,70,0
"54",185,"West Virginia",22.8,4,108,110,3.85,18.61,1,1,4,1,2169,"car_type_3",TRUE,70,965
"54",185,"West Virginia",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,70,0
"54",185,"West Virginia",26,4,120.3,114,4.43,16.7,0,1,5,2,1882,"car_type_27",TRUE,70,0
"54",185,"West Virginia",16.4,8,275.8,205,3.07,17.4,0,0,3,3,3632,"car_type_12",TRUE,70,0
"54",185,"West Virginia",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,70,0
"54",185,"West Virginia",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,70,0
"54",185,"West Virginia",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,70,0
"54",185,"West Virginia",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,70,0
"54",185,"West Virginia",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,70,1036
"54",185,"West Virginia",32.4,4,78.7,79,4.08,19.47,1,1,4,1,2138,"car_type_18",TRUE,70,0
"54",185,"West Virginia",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,70,0
"54",185,"West Virginia",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,70,1057
